ID,Length_nm,Height_nm,AspectRatio,Solidity_%,Area 3D_nm2,Area 2D_nm2,Group,ImageName
1,87.4,3.16,27.69,96.33,3165.14,1521.11,isolated,0601.jpk_height
2,63.48,2.29,27.78,95.56,2064.84,1366.14,isolated,0601.jpk_height
3,68.36,2.95,23.17,95.92,2797.93,1691.1,isolated,0601.jpk_height
4,79.1,3.2,24.76,94.61,3535,1667.02,isolated,0601.jpk_height
5,86.43,3.23,26.74,96.66,2640.29,1564.26,isolated,0601.jpk_height
6,111.82,2.57,43.44,96.1,6703.28,2219.2,isolated,0601.jpk_height
7,51.27,2.29,22.39,97.33,1370.47,800.37,isolated,0601.jpk_height
8,69.82,2.45,28.46,95.7,1995.19,987.53,isolated,0601.jpk_height
9,94.24,2.4,39.25,93.23,4618.27,1892.57,isolated,0601.jpk_height
10,68.85,2.77,24.88,96.51,1440.35,936.03,isolated,0601.jpk_height
11,50.29,1.84,27.27,95.65,1234.61,650.17,isolated,0601.jpk_height
12,162.11,3.19,50.82,92.77,9913.23,2721.55,isolated,0601.jpk_height
13,145.51,2.13,68.16,90.87,7689.6,2177,isolated,0601.jpk_height
14,112.3,4.15,27.04,93.43,7579.38,2775.91,isolated,0601.jpk_height
15,45.9,2.37,19.39,98.04,1365.7,762.7,isolated,0601.jpk_height
16,55.66,1.32,42.12,96.52,1390.51,740.53,isolated,0601.jpk_height
17,82.52,2.03,40.68,95.66,3716.81,1354.69,isolated,0601.jpk_height
18,62.01,1.74,35.62,90.87,1727.99,780.82,isolated,0601.jpk_height
1,61.04,1.63,37.43,95.63,1994.57,844.72,isolated,0602.jpk_height
2,122.07,3.9,31.34,93.28,7833.17,2337.93,isolated,0602.jpk_height
3,81.05,3.14,25.84,93.28,3876.4,1763.11,isolated,0602.jpk_height
4,91.31,5.68,16.08,97.01,5076.06,2651.93,isolated,0602.jpk_height
5,81.54,3.81,21.38,95.77,2459.48,1272.68,isolated,0602.jpk_height
6,67.38,2.18,30.9,93.67,2687.89,1174.45,isolated,0602.jpk_height
1,80.08,3.95,20.28,97.31,2881.14,1429.56,isolated,0603.jpk_height
2,67.38,2.8,24.09,95.09,2974.48,1321.79,isolated,0603.jpk_height
3,61.04,2.79,21.85,97.43,1964.15,869.04,isolated,0603.jpk_height
4,77.64,2.68,29.01,94.95,3684.01,1233.82,isolated,0603.jpk_height
5,128.42,4.74,27.11,95.65,5878.58,2253.29,isolated,0603.jpk_height
6,140.14,6.76,20.74,93.09,8709.38,3077.51,isolated,0603.jpk_height
7,77.64,2.91,26.71,92.89,2832.25,1137.5,isolated,0603.jpk_height
8,151.37,6.53,23.17,95.66,11930.05,4040.72,isolated,0603.jpk_height
9,128.42,3.42,37.56,89.34,9609.2,2447.13,isolated,0603.jpk_height
10,162.6,4.16,39.12,92.61,12518.17,3243.68,isolated,0603.jpk_height
11,117.19,3.51,33.41,95.66,3500.97,1898.29,isolated,0603.jpk_height
12,128.91,4.57,28.23,91.54,8686.41,2916.57,isolated,0603.jpk_height
13,64.45,2.57,25.13,93.77,2527.15,965.36,isolated,0603.jpk_height
1,86.91,2.95,29.48,95.95,4371.23,1490.83,isolated,0604.jpk_height
2,74.71,1.62,46.19,92.09,3391.82,1251.94,isolated,0604.jpk_height
3,81.05,3.07,26.39,93.65,2826.66,1747.13,isolated,0604.jpk_height
4,79.1,2.77,28.51,92.94,3724.5,1289.13,isolated,0604.jpk_height
5,38.09,1.13,33.8,94.49,965.45,445.84,isolated,0604.jpk_height
6,40.53,1.99,20.4,96.45,924.26,544.79,isolated,0604.jpk_height
7,74.71,3.08,24.26,96.86,2848.11,1259.09,isolated,0604.jpk_height
8,92.77,3.13,29.6,92.77,4922.92,1750.95,isolated,0604.jpk_height
9,71.29,4.1,17.39,95.32,3409.29,1713.99,isolated,0604.jpk_height
10,113.28,3.08,36.73,86.92,7426.91,1985.07,isolated,0604.jpk_height
11,91.31,2.95,30.91,95.94,2489.45,1373.77,isolated,0604.jpk_height
1,111.33,2.73,40.77,95.7,2783.77,1515.87,isolated,0605.jpk_height
2,151.37,3.79,39.94,94.11,12846.43,2775.67,isolated,0605.jpk_height
3,55.18,1.39,39.69,94.43,1303.9,577.93,isolated,0605.jpk_height
4,102.05,2.84,35.91,92.27,4548.57,1687.53,isolated,0605.jpk_height
5,34.18,1.56,21.91,96.47,795.96,403.4,isolated,0605.jpk_height
6,42.48,1.33,31.93,95.91,1030.35,485.9,isolated,0605.jpk_height
7,150.39,4.72,31.86,94.51,8855.43,3438.47,isolated,0605.jpk_height
8,44.43,1.46,30.48,95.91,1386.98,598.19,isolated,0605.jpk_height
9,86.91,3.23,26.94,95.54,3454.05,1485.82,isolated,0605.jpk_height
10,127.44,3.63,35.14,92.21,5197.33,2199.41,isolated,0605.jpk_height
11,32.23,1.25,25.88,97.96,566.94,320.67,isolated,0605.jpk_height
