ID,Length_nm,Height_nm,AspectRatio,Solidity_%,Area 3D_nm2,Area 2D_nm2,Group,ImageName
1,147.95,4.41,33.57,90.47,8655.87,2934.22,lateral,0601.jpk_height
2,174.8,4.4,39.7,92.77,7251.37,3796.82,lateral,0601.jpk_height
3,144.53,3.89,37.12,89.4,8268.4,2688.17,lateral,0601.jpk_height
4,278.32,6.85,40.61,93.1,10551.83,6264.69,lateral,0601.jpk_height
5,95.21,3,31.77,87.25,4223.19,2029.9,lateral,0601.jpk_height
6,80.57,3.2,25.16,92.48,3087.4,1942.16,lateral,0601.jpk_height
1,93.75,4.78,19.61,91.24,5281.9,2328.4,lateral,0602.jpk_height
1,102.05,3.83,26.68,91.73,5576.42,2080.2,lateral,0603.jpk_height
2,129.39,4.16,31.11,91.93,9690.96,3564.6,lateral,0603.jpk_height
3,96.68,4.64,20.82,90.01,4371.61,2492.67,lateral,0603.jpk_height
4,200.2,5.47,36.57,94.48,9994.29,5450.96,lateral,0603.jpk_height
5,83.98,2.01,41.79,86.08,4586.88,1515.39,lateral,0603.jpk_height
1,113.77,3.67,30.96,91.25,7651.4,2538.44,lateral,0604.jpk_height
2,233.89,6.03,38.78,88.13,24967,4923.82,lateral,0604.jpk_height
3,139.16,3.59,38.76,91.29,11293.5,2979.04,lateral,0604.jpk_height
4,89.36,2.85,31.31,89.66,4553.09,1902.58,lateral,0604.jpk_height
5,127.93,3.4,37.67,85.99,8445.09,2152.2,lateral,0604.jpk_height
6,123.54,5.39,22.91,90.18,4409.34,2290.96,lateral,0604.jpk_height
7,172.36,5.31,32.43,93.69,7980.74,4621.98,lateral,0604.jpk_height
1,114.26,4.29,26.61,87.98,6511.24,2609.73,lateral,0605.jpk_height
2,136.23,4.81,28.35,89.92,8693.87,3018.86,lateral,0605.jpk_height
3,144.04,3.81,37.78,90.07,10236.86,2762.32,lateral,0605.jpk_height
